subject,subj_id,session,block,prop_word_faster,pwf_ord1,pwf_ord2,nwf_ord1,nwf_ord2
19,k0511,2,2,0.333333333333333,0.166666666666667,0,4,0
19,k0511,2,3,0.416666666666667,0.166666666666667,0.0416666666666667,4,1
19,k0511,2,4,0.416666666666667,0.166666666666667,0.0416666666666667,4,1
20,k1234,1,1,0.416666666666667,0.125,0.0833333333333333,3,2
20,k1234,1,2,0.416666666666667,0.125,0.0833333333333333,3,2
20,k1234,1,3,0.5,0.125,0.125,3,3
20,k1234,1,4,0.416666666666667,0.125,0.0833333333333333,3,2
20,k1234,2,1,0.583333333333333,0.166666666666667,0.125,4,3
20,k1234,2,2,0.583333333333333,0.166666666666667,0.125,4,3
20,k1234,2,3,0.583333333333333,0.125,0.166666666666667,3,4
20,k1234,2,4,0.416666666666667,0.125,0.0833333333333333,3,2
21,k1408,1,1,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
21,k1408,1,2,0.666666666666667,0.166666666666667,0.166666666666667,4,4
21,k1408,1,3,0.166666666666667,0.0416666666666667,0.0416666666666667,1,1
21,k1408,1,4,0.333333333333333,0.0416666666666667,0.125,1,3
21,k1408,2,1,0.5,0.125,0.125,3,3
21,k1408,2,2,0.5,0.0833333333333333,0.166666666666667,2,4
21,k1408,2,3,0.5,0.125,0.125,3,3
21,k1408,2,4,0.416666666666667,0.125,0.0833333333333333,3,2
22,k1707,1,1,0.666666666666667,0.208333333333333,0.125,5,3
22,k1707,1,2,0.416666666666667,0.208333333333333,0,5,0
22,k1707,1,3,0.416666666666667,0.125,0.0833333333333333,3,2
22,k1707,1,4,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
22,k1707,2,1,0.583333333333333,0.166666666666667,0.125,4,3
22,k1707,2,2,0.583333333333333,0.208333333333333,0.0833333333333333,5,2
22,k1707,2,3,0.416666666666667,0.166666666666667,0.0416666666666667,4,1
22,k1707,2,4,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
23,k2112,1,1,0.5,0.125,0.125,3,3
23,k2112,1,2,0.416666666666667,0.0833333333333333,0.125,2,3
23,k2112,1,3,0.666666666666667,0.166666666666667,0.166666666666667,4,4
23,k2112,1,4,0.416666666666667,0.125,0.0833333333333333,3,2
23,k2112,2,1,0.666666666666667,0.166666666666667,0.166666666666667,4,4
23,k2112,2,2,0.583333333333333,0.166666666666667,0.125,4,3
23,k2112,2,3,0.916666666666667,0.25,0.208333333333333,6,5
23,k2112,2,4,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
24,l2805,1,1,0.583333333333333,0.166666666666667,0.125,4,3
24,l2805,1,2,0.666666666666667,0.166666666666667,0.166666666666667,4,4
24,l2805,1,3,0.583333333333333,0.125,0.166666666666667,3,4
24,l2805,1,4,0.583333333333333,0.166666666666667,0.125,4,3
24,l2805,2,1,0.5,0.125,0.125,3,3
24,l2805,2,2,0.5,0.208333333333333,0.0416666666666667,5,1
24,l2805,2,3,0.333333333333333,0.125,0.0416666666666667,3,1
24,l2805,2,4,0.583333333333333,0.166666666666667,0.125,4,3
25,m1201,1,1,0.5,0.125,0.125,3,3
25,m1201,1,2,0.583333333333333,0.0833333333333333,0.208333333333333,2,5
25,m1201,1,3,0.666666666666667,0.166666666666667,0.166666666666667,4,4
25,m1201,1,4,0.583333333333333,0.166666666666667,0.125,4,3
25,m1201,2,1,0.5,0.166666666666667,0.0833333333333333,4,2
25,m1201,2,2,0.583333333333333,0.166666666666667,0.125,4,3
25,m1201,2,3,0.666666666666667,0.166666666666667,0.166666666666667,4,4
25,m1201,2,4,0.75,0.166666666666667,0.208333333333333,4,5
26,m2209,1,1,0.5,0.125,0.125,3,3
26,m2209,1,2,0.416666666666667,0.0833333333333333,0.125,2,3
26,m2209,1,3,0.416666666666667,0.125,0.0833333333333333,3,2
26,m2209,1,4,0.666666666666667,0.166666666666667,0.166666666666667,4,4
26,m2209,2,1,0.666666666666667,0.166666666666667,0.166666666666667,4,4
26,m2209,2,2,0.5,0.125,0.125,3,3
26,m2209,2,3,0.583333333333333,0.166666666666667,0.125,4,3
26,m2209,2,4,0.75,0.166666666666667,0.208333333333333,4,5
27,m2305,1,1,0.416666666666667,0.125,0.0833333333333333,3,2
27,m2305,1,2,0.583333333333333,0.125,0.166666666666667,3,4
27,m2305,1,3,0.416666666666667,0.125,0.0833333333333333,3,2
27,m2305,1,4,0.5,0.125,0.125,3,3
27,m2305,2,1,0.416666666666667,0.125,0.0833333333333333,3,2
27,m2305,2,2,0.583333333333333,0.125,0.166666666666667,3,4
27,m2305,2,3,0.333333333333333,0.125,0.0416666666666667,3,1
27,m2305,2,4,0.583333333333333,0.166666666666667,0.125,4,3
