"subject","delta_rt","sess","trial","tgt_word","N","rt_mean","rt_median","sd","se","ci","delta","cond_order"
"u0807","D2-3","rand",4,1,12,600.475000000001,582.449999999997,116.893386740379,33.7442141505225,74.2705145842543,36.4,"struct-rand"
"u0807","D1-3","rand",3,1,14,541.92142857143,546.049999999988,84.7804601814116,22.6585310779909,48.9507803423796,76.3500000000349,"struct-rand"
"u0807","D1-2","rand",2,2,7,623.814285714285,654.399999999994,91.5914011351782,34.6182956622344,84.7079179223617,75.65,"struct-rand"
"u0807","D2-3","rand",5,2,14,619.65,578.75,148.608746766085,39.7173582197528,85.8041358154589,170.85,"struct-rand"
"u0807","D1-3","rand",1,2,11,419.545454545454,407.900000000001,113.357587868094,34.178598736201,76.1546637505785,246.499999999993,"struct-rand"
"u0807","D1-2","rand",12,3,3,503.833333333372,552.400000000023,310.511776480936,179.274057737817,771.354013898881,36.7,"struct-rand"
"u0807","D2-3","rand",10,3,12,548.833333333353,515.70000000007,134.109597875862,38.7141062172706,85.2091732704241,-24.9,"struct-rand"
"u0807","D1-3","rand",9,3,12,561.800000000003,540.600000000035,82.9674854166493,23.9506500196444,52.7150252677858,11.7999999999884,"struct-rand"
"u0807","D1-2","rand",6,4,7,600.39999999999,598,68.6128996617818,25.9332384623003,63.4563485319712,10.1,"struct-rand"
"u0807","D2-3","rand",7,4,10,625.889999999996,587.899999999994,140.320945217266,44.3733790314273,100.379557213503,82.2,"struct-rand"
"u0807","D1-3","rand",11,4,8,559.025000000009,505.699999999953,151.423792714344,53.5363953306493,126.593458741712,92.3000000000466,"struct-rand"
"u0807","D1-2","struct",8,1,11,597.763636363639,605.099999999977,151.448415460365,45.6634153796265,101.744429921733,-5,"struct-rand"
"u0807","D2-3","struct",4,1,14,613.564285714283,610.100000000006,152.564269469233,40.7745161298091,88.087986629276,203.4,"struct-rand"
"u0807","D1-3","struct",1,1,17,419.152941176469,406.699999999997,89.1538986643805,21.6229965369914,45.8387049438109,198.39999999998,"struct-rand"
"u0807","D1-2","struct",10,2,9,686.799999999995,646.900000000023,178.267025834849,59.4223419449495,137.02816624857,152.05,"struct-rand"
"u0807","D2-3","struct",2,2,16,526.425000000001,494.849999999991,90.3978207701959,22.599455192549,48.169598500057,-113.35,"struct-rand"
"u0807","D1-3","struct",9,2,8,647.699999999997,608.200000000012,174.074081109952,61.544481590832,145.529573721387,38.7000000000116,"struct-rand"
"u0807","D1-2","struct",12,3,14,554.892857142841,542.349999999977,155.254101713636,41.4934040359843,89.6410495292872,34.35,"struct-rand"
"u0807","D2-3","struct",7,3,15,558.659999999994,508,195.434284899773,50.4609153796518,108.227899566424,-3,"struct-rand"
"u0807","D1-3","struct",6,3,16,533.562500000004,511,95.1499439481401,23.787485987035,50.7018261970753,31.3499999999767,"struct-rand"
"u0807","D1-2","struct",5,4,15,561.773333333332,531.600000000035,144.43456979677,37.292845562635,79.9851987173141,121.15,"struct-rand"
"u0807","D2-3","struct",3,4,10,439.089999999997,410.449999999997,146.917508600353,46.4593955334492,105.098454385267,-66.85,"struct-rand"
"u0807","D1-3","struct",11,4,12,539.558333333349,477.300000000047,184.662160608546,53.3073740682409,117.328739247652,54.2999999999884,"struct-rand"
"x0805","D1-2","rand",8,1,15,634.026666666664,654.799999999988,132.0158403194,34.0863433995077,73.1079355630589,29.1,"struct-rand"
"x0805","D2-3","rand",4,1,13,635.507692307699,625.700000000012,148.756145315849,41.2575314982052,89.8924389486892,103.4,"struct-rand"
"x0805","D1-3","rand",3,1,18,532.888888888891,522.300000000003,131.763298866203,31.0569073799339,65.524346989511,132.499999999985,"struct-rand"
"x0805","D1-2","rand",2,2,17,548.423529411765,519.100000000006,84.3623029662216,20.460863879417,43.3750937646209,15.1,"struct-rand"
"x0805","D2-3","rand",5,2,15,513.51333333333,504,66.2432084569284,17.1039228768687,36.6842660974807,29.35,"struct-rand"
"x0805","D1-3","rand",1,2,18,474.227777777777,474.649999999994,123.205274932698,29.039761794288,61.2685418101576,44.4500000000116,"struct-rand"
"x0805","D1-2","rand",12,3,14,521.392857142857,509.399999999965,166.759552669689,44.5683651472614,96.2840991339323,-11.8,"struct-rand"
"x0805","D2-3","rand",10,3,16,541.343750000015,521.200000000012,63.6614375034065,15.9153593758516,33.9227855090794,-0.65,"struct-rand"
"x0805","D1-3","rand",9,3,16,555.324999999997,521.850000000035,114.733764283529,28.6834410708823,61.1373074356226,-12.4500000000698,"struct-rand"
"x0805","D1-2","rand",6,4,18,523.077777777776,517.899999999994,85.363634326097,20.1204015662373,42.4503366567093,-6.6,"struct-rand"
"x0805","D2-3","rand",7,4,14,549.685714285713,524.500000000029,89.6631976397697,23.963497555044,51.7699890171398,-8.05,"struct-rand"
"x0805","D1-3","rand",11,4,16,514.100000000006,532.550000000047,132.094011976292,33.0235029940729,70.3879304495086,-14.6500000000524,"struct-rand"
"x0805","D1-2","struct",8,1,13,709.961538461534,711.799999999988,153.013662453507,42.4383542940507,92.4652308058409,242.45,"struct-rand"
"x0805","D2-3","struct",4,1,18,487.444444444449,469.349999999991,88.6698385102679,20.8996813657755,44.0944733172658,79.25,"struct-rand"
"x0805","D1-3","struct",1,1,17,396.794117647058,390.099999999999,60.0847471346552,14.5726917014536,30.8927263618291,321.69999999999,"struct-rand"
"x0805","D1-2","struct",10,2,15,572.3,583,91.5567427492824,23.6398493267311,50.7024341403556,50.1,"struct-rand"
"x0805","D2-3","struct",2,2,16,519.537500000002,532.900000000009,119.065717848033,29.7664294620083,63.4456425497346,10.2,"struct-rand"
"x0805","D1-3","struct",9,2,18,538.727777777777,522.700000000012,67.3403279710007,15.8722675185403,33.487557266154,60.2999999999884,"struct-rand"
"x0805","D1-2","struct",12,3,15,539.473333333339,543.699999999953,45.0141321724286,11.622598949853,24.9279955066522,55.8,"struct-rand"
"x0805","D2-3","struct",7,3,17,500.799999999992,487.899999999965,82.2188922936884,19.9410104322447,42.2730536871418,-18.4,"struct-rand"
"x0805","D1-3","struct",6,3,18,511.39444444444,506.300000000017,82.5124837059154,19.4483789203324,41.0324928097225,37.399999999936,"struct-rand"
"x0805","D1-2","struct",5,4,18,536.711111111107,496.550000000017,112.997391374836,26.6337405658457,56.1922807417924,61.5,"struct-rand"
"x0805","D2-3","struct",3,4,16,443.281249999996,435.050000000017,110.048311928596,27.512077982149,58.6406061124565,-18.85,"struct-rand"
"x0805","D1-3","struct",11,4,17,473.205882352927,453.899999999907,91.3880836774419,22.1648659955811,46.9874168805613,42.6500000001106,"struct-rand"
"s3165","D1-2","rand",8,1,17,579.217647058821,549.300000000047,104.145176528329,25.2589154838176,53.5465087867267,28.65,"struct-rand"
"s3165","D2-3","rand",4,1,14,540.957142857138,520.649999999965,116.269360434404,31.0742936660622,67.1319300578809,47.65,"struct-rand"
"s3165","D1-3","rand",3,1,15,479.640000000002,473,58.9373856611534,15.2175675423101,32.6384362872367,76.3000000000466,"struct-rand"
"s3165","D1-2","rand",2,2,13,555.515384615384,578.099999999991,97.4428708368316,27.0257897869701,58.88413751974,92.55,"struct-rand"
"s3165","D2-3","rand",5,2,16,501.837499999998,485.549999999988,76.759180775543,19.1897951938858,40.902080245393,36.95,"struct-rand"
"s3165","D1-3","rand",1,2,17,496.258823529412,448.599999999999,148.795623502606,36.0882395488754,76.503650259227,129.499999999993,"struct-rand"
"s3165","D1-2","rand",12,3,16,577.137500000012,532.650000000023,130.638615398868,32.6596538497171,69.6124043561191,28.05,"struct-rand"
"s3165","D2-3","rand",10,3,15,517.293333333335,504.599999999977,77.0790175883304,19.9017167641088,42.6849371823712,-11.9,"struct-rand"
"s3165","D1-3","rand",9,3,13,529.961538461547,516.5,133.457206240199,37.0143692445546,80.6473825920757,16.1500000000233,"struct-rand"
"s3165","D1-2","rand",6,4,16,517.768749999996,518.449999999983,52.0518167310279,13.012954182757,27.7364552792275,38.75,"struct-rand"
"s3165","D2-3","rand",7,4,11,505.009090909089,479.700000000012,75.3056764732171,22.7055157677777,50.5910418365725,-23.75,"struct-rand"
"s3165","D1-3","rand",11,4,14,504.457142857153,503.449999999953,93.8914652816948,25.093549616163,54.2113180701525,15.0000000000291,"struct-rand"
"s3165","D1-2","struct",8,1,15,562.399999999996,522.099999999977,149.558631598808,38.615872630917,82.8228095611203,37.7,"struct-rand"
"s3165","D2-3","struct",4,1,18,521.861111111118,484.399999999994,136.491900810741,32.1714495467721,67.8758254152584,44.55,"struct-rand"
"s3165","D1-3","struct",1,1,18,475.133333333332,439.849999999995,104.119755711449,24.5412617730176,51.7775363883977,82.2499999999818,"struct-rand"
"s3165","D1-2","struct",10,2,13,496.961538461538,505.800000000047,106.185722035052,29.4506204245804,64.1673896227354,-13.8,"struct-rand"
"s3165","D2-3","struct",2,2,18,541.744444444444,519.600000000006,134.272708550316,31.6483809147377,66.7722470671163,63.1,"struct-rand"
"s3165","D1-3","struct",9,2,17,480.323529411772,456.5,96.6755238504653,23.4472586027875,49.7059677642604,49.3000000000466,"struct-rand"
"s3165","D1-2","struct",12,3,15,578.419999999995,550.599999999977,147.349905230466,38.0455819348556,81.5996576679645,-9.75,"struct-rand"
"s3165","D2-3","struct",7,3,16,563.524999999998,560.349999999977,114.218699578185,28.5546748945462,60.8628488275877,107.45,"struct-rand"
"s3165","D1-3","struct",6,3,17,498.752941176487,452.900000000023,112.554637385845,27.2985093291137,57.870254587629,97.6999999999534,"struct-rand"
"s3165","D1-2","struct",5,4,16,590.118749999998,616.099999999977,119.934677880644,29.9836694701611,63.9086786663893,166.25,"struct-rand"
"s3165","D2-3","struct",3,4,16,475.69375,449.850000000006,112.846825202722,28.2117063006804,60.1318285740511,-31.95,"struct-rand"
"s3165","D1-3","struct",11,4,17,490.799999999992,481.79999999993,98.8786883003512,23.9816044696984,50.8387303991418,134.300000000047,"struct-rand"
"r5762","D1-2","rand",5,1,13,609.069230769241,607.799999999988,91.3802803728787,25.3443297269761,55.2205507684521,81.85,"rand-struct"
"r5762","D2-3","rand",12,1,12,528.900000000004,525.950000000012,126.25395043326,36.4463761344483,80.2179330110387,-28.85,"rand-struct"
"r5762","D1-3","rand",7,1,14,547.392857142857,554.800000000017,113.349075964376,30.293814811865,65.4458080042413,52.9999999999709,"rand-struct"
"r5762","D1-2","rand",11,2,10,549.609999999998,519.749999999942,96.9810571423386,30.668103046073,69.3760689751076,-58.95,"rand-struct"
"r5762","D2-3","rand",3,2,15,618.886666666668,578.700000000012,136.756493012043,35.3103746614249,75.7332215192143,53.45,"rand-struct"
"r5762","D1-3","rand",8,2,14,562.957142857149,525.25,165.592115727791,44.2563545003155,95.6100411117875,-5.50000000005821,"rand-struct"
"r5762","D1-2","rand",4,3,13,656.492307692312,610.100000000035,118.020700596255,32.7330528896908,71.3191955902343,29.1,"rand-struct"
"r5762","D2-3","rand",9,3,13,601.215384615397,581,120.735777948871,33.4860798598223,72.9599004138422,-31,"rand-struct"
"r5762","D1-3","rand",10,3,15,603.319999999988,612,94.5060557394493,24.4013586663091,52.3357092346076,-1.89999999996508,"rand-struct"
"r5762","D1-2","rand",1,4,12,517.516666666666,480.549999999996,107.334310648666,30.984746573145,68.1969673966924,-108.55,"rand-struct"
"r5762","D2-3","rand",6,4,14,595.428571428576,589.100000000006,103.973705467158,27.7881416493894,60.032630240689,126.6,"rand-struct"
"r5762","D1-3","rand",2,4,15,488.17333333333,462.5,103.944981784093,26.8384788914416,57.562812250327,18.0499999999956,"rand-struct"
"r5762","D1-2","struct",4,1,15,549.433333333331,532.900000000023,138.996704311732,35.8887947318036,76.9738091861869,1.8,"rand-struct"
"r5762","D2-3","struct",1,1,11,534.90909090909,531.099999999999,83.0571063130123,25.0426598011746,55.7985232600719,131.1,"rand-struct"
"r5762","D1-3","struct",3,1,15,415.493333333331,400,147.011828808176,37.9582909779709,81.4124371856624,132.900000000023,"rand-struct"
"r5762","D1-2","struct",2,2,8,704.6,693.050000000003,82.4831064954639,29.1621819681373,68.9576027112193,229.15,"rand-struct"
"r5762","D2-3","struct",11,2,9,538.122222222233,463.900000000023,143.130332020987,47.7101106736624,110.019712504514,-176.8,"rand-struct"
"r5762","D1-3","struct",9,2,11,678.827272727265,640.699999999953,121.359087759514,36.5911417271018,81.5301445206917,52.3500000000495,"rand-struct"
"r5762","D1-2","struct",7,3,17,653.658823529402,680.299999999988,125.274663533896,30.3835688214098,64.4102885537604,131.5,"rand-struct"
"r5762","D2-3","struct",12,3,9,533.177777777762,548.79999999993,47.4829384563077,15.8276461521026,36.4986174772969,58.7,"rand-struct"
"r5762","D1-3","struct",8,3,15,499.746666666667,490.099999999977,35.7129401651299,9.22104150024333,19.7771670584595,190.200000000012,"rand-struct"
"r5762","D1-2","struct",10,4,11,578.900000000002,574.800000000047,109.582170082548,33.0402674433381,73.6183035705189,-2.3,"rand-struct"
"r5762","D2-3","struct",6,4,11,576.654545454552,577.100000000035,133.973097028,40.3944086221596,90.0043512540431,40.7,"rand-struct"
"r5762","D1-3","struct",5,4,15,546.079999999997,536.399999999965,115.626252580089,29.8545700418037,64.0316843991703,38.4000000000815,"rand-struct"
"g9126","D1-2","rand",1,1,17,581.958823529412,578.700000000004,81.3937041393839,19.7408729074678,41.8487810877943,-49.5,"rand-struct"
"g9126","D2-3","rand",2,1,12,595.999999999999,628.199999999997,175.458179425395,50.6504135613867,111.480808601117,-16.65,"rand-struct"
"g9126","D1-3","rand",6,1,16,664.700000000008,644.850000000006,137.976031734978,34.4940079337446,73.5222375349152,-66.1500000000015,"rand-struct"
"g9126","D1-2","rand",4,2,11,619.881818181817,636.400000000023,125.668562641433,37.8904972931734,84.4252891400004,31.6,"rand-struct"
"g9126","D2-3","rand",8,2,12,591.683333333334,604.800000000017,89.0229064835673,25.6986995111652,56.5624562577289,84.95,"rand-struct"
"g9126","D1-3","rand",7,2,14,518.707142857149,519.850000000006,108.281310726957,28.9393975807915,62.5197674704572,116.550000000017,"rand-struct"
"g9126","D1-2","rand",3,3,14,664.635714285716,657.650000000009,175.346898404902,46.8634298331857,101.242284945958,18.75,"rand-struct"
"g9126","D2-3","rand",10,3,16,637.662499999991,638.900000000023,136.238726139074,34.0596815347685,72.5964927291929,-56.8,"rand-struct"
"g9126","D1-3","rand",9,3,18,715.794444444441,695.700000000012,96.3465282027915,22.7090944786583,47.9120012895618,-38.0500000000029,"rand-struct"
"g9126","D1-2","rand",5,4,15,602.186666666674,610,82.5909011476535,21.3248789795417,45.7373165567792,-3.35,"rand-struct"
"g9126","D2-3","rand",12,4,12,622.833333333333,613.349999999977,98.7843871850297,28.5165962665046,62.7646051989012,61.3,"rand-struct"
"g9126","D1-3","rand",11,4,12,565.816666666661,552.049999999988,104.052328035922,30.0373198006735,66.1116951302091,57.9500000000116,"rand-struct"
"g9126","D1-2","struct",3,1,17,658.205882352943,638,100.784134853832,24.4437431405203,51.8184206163922,211.6,"rand-struct"
"g9126","D2-3","struct",8,1,13,454.276923076921,426.399999999965,110.688415186103,30.6994428117954,66.8883398619753,-28.65,"rand-struct"
"g9126","D1-3","struct",2,1,18,481.988888888888,455.049999999996,104.544023312944,24.6412626057023,51.9885197029923,182.950000000004,"rand-struct"
