"Subject","Block","Trial","Session","Syll","Cond_Order","Word","Position","Dial","Prev_ISI","Prev_Pos","Curr_ISI","Curr_Pos","ISI_Diff","Pos_Diff","X","Point"
"a2012",3,6,"struct","la","rand-struct","3","3","3",495,1485,495,1485,0,0,15,"start"
"a2012",3,6,"struct","nu","rand-struct","1","1","1",458,1374,458,1374,0,0,16,"start"
"a2012",3,6,"rand","di","rand-struct",NA,"2","1",0,0,96,288,0,0,1,"start"
"a2012",3,6,"rand","tu","rand-struct",NA,"3","2",310,930,310,930,0,0,1,"start"
"a2012",3,6,"rand","po","rand-struct",NA,"1","3",422,1266,422,1266,0,0,1,"start"
"a2012",3,7,"struct","za","rand-struct","4","1","3",0,0,56,168,0,0,13,"start"
"a2012",3,7,"struct","be","rand-struct","4","2","2",56,168,56,168,0,0,13,"start"
"a2012",3,7,"struct","tu","rand-struct","4","3","1",451,1353,451,1353,0,0,13,"start"
"a2012",3,7,"rand","ro","rand-struct",NA,"1","3",0,0,161,483,0,0,1,"start"
"a2012",3,7,"rand","za","rand-struct",NA,"2","2",576,1728,576,1728,0,0,1,"start"
"a2012",3,7,"rand","se","rand-struct",NA,"3","1",122,366,122,366,0,0,1,"start"
"a2012",3,8,"struct","ro","rand-struct","2","1","3",0,0,451,1353,0,0,21,"start"
"a2012",3,8,"struct","ki","rand-struct","2","2","2",495,1485,495,1485,0,0,21,"start"
"a2012",3,8,"struct","se","rand-struct","2","3","1",212,636,212,636,0,0,21,"start"
"a2012",3,8,"rand","tu","rand-struct",NA,"1","1",0,0,422,1266,0,0,1,"start"
"a2012",3,8,"rand","po","rand-struct",NA,"2","3",576,1728,576,1728,0,0,1,"start"
"a2012",3,8,"rand","nu","rand-struct",NA,"3","2",96,288,96,288,0,0,1,"start"
"a2012",3,9,"struct","se","rand-struct","2","3","2",0,0,198,594,0,0,47,"start"
"a2012",3,9,"struct","mi","rand-struct","3","1","3",468,1404,468,1404,0,0,47,"start"
"a2012",3,9,"struct","po","rand-struct","3","2","1",468,1404,468,1404,0,0,47,"start"
"a2012",3,9,"rand","ki","rand-struct",NA,"3","1",0,0,152,456,0,0,1,"start"
"a2012",3,9,"rand","po","rand-struct",NA,"1","3",96,288,96,288,0,0,1,"start"
"a2012",3,9,"rand","za","rand-struct",NA,"2","2",221,663,221,663,0,0,1,"start"
"a2012",3,10,"struct","ki","rand-struct","2","2","1",0,0,224,672,0,0,38,"start"
"a2012",3,10,"struct","se","rand-struct","2","3","3",224,672,224,672,0,0,38,"start"
"a2012",3,10,"struct","nu","rand-struct","1","1","2",56,168,56,168,0,0,38,"start"
"a2012",3,10,"rand","ga","rand-struct",NA,"2","3",0,0,122,366,0,0,1,"start"
"a2012",3,10,"rand","mi","rand-struct",NA,"3","1",377,1131,377,1131,0,0,1,"start"
"a2012",3,10,"rand","ki","rand-struct",NA,"1","2",152,456,152,456,0,0,1,"start"
"a2605",1,1,"struct","mi","rand-struct","3","1","1",0,0,289,867,0,0,68,"start"
"a2605",1,1,"struct","po","rand-struct","3","2","2",510,1530,510,1530,0,0,68,"start"
"a2605",1,1,"struct","la","rand-struct","3","3","3",561,1683,561,1683,0,0,69,"start"
"a2605",1,1,"rand","tu","rand-struct",NA,"1","2",0,0,288,864,0,0,1,"start"
"a2605",1,1,"rand","za","rand-struct",NA,"2","1",288,864,288,864,0,0,1,"start"
"a2605",1,1,"rand","be","rand-struct",NA,"3","3",36,108,36,108,0,0,1,"start"
"a2605",1,2,"struct","tu","rand-struct","4","3","1",0,0,28,84,0,0,58,"start"
"a2605",1,2,"struct","mi","rand-struct","3","1","2",350,1050,350,1050,0,0,59,"start"
"a2605",1,2,"struct","po","rand-struct","3","2","3",223,669,223,669,0,0,59,"start"
"a2605",1,2,"rand","mi","rand-struct",NA,"3","2",0,0,541,1623,0,0,1,"start"
"a2605",1,2,"rand","za","rand-struct",NA,"1","3",121,363,121,363,0,0,1,"start"
"a2605",1,2,"rand","po","rand-struct",NA,"2","1",36,108,36,108,0,0,1,"start"
"a2605",1,3,"struct","nu","rand-struct","1","1","1",0,0,510,1530,0,0,18,"start"
"a2605",1,3,"struct","ga","rand-struct","1","2","3",329,987,329,987,0,0,18,"start"
