"rt","tgt_pos"
339.899999999907,"2"
259.699999999953,"2"
489.800000000047,"2"
309.800000000047,"2"
181.800000000047,"2"
337.40000000014,"3"
245.40000000014,"3"
273.300000000047,"3"
165.200000000186,"3"
215.100000000093,"3"
163.100000000093,"3"
339,"3"
198.90000000014,"3"
164.800000000047,"3"
180.700000000186,"3"
288.600000000093,"3"
230.5,"3"
140.5,"3"
184.5,"3"
206.300000000047,"3"
288.300000000047,"3"
262.199999999953,"3"
221.90000000014,"3"
831.399999999907,"1"
585.09999999986,"1"
618.899999999907,"1"
94.6999999999534,"1"
413.700000000001,"2"
337.600000000002,"2"
447.599999999999,"2"
369.400000000001,"2"
299.300000000003,"2"
293.5,"1"
231.199999999997,"1"
331.100000000006,"1"
482.299999999988,"3"
338.399999999994,"3"
336.199999999983,"3"
312.099999999977,"3"
352,"3"
313.699999999983,"3"
525.699999999983,"3"
517.599999999977,"3"
353.5,"3"
565.399999999994,"3"
345,"3"
641,"3"
342.899999999994,"3"
394.5,"2"
496.399999999994,"2"
382.5,"2"
488.399999999994,"2"
316.199999999983,"2"
206.100000000006,"2"
314,"2"
453.899999999994,"2"
425.699999999983,"2"
347.699999999983,"2"
273.699999999983,"2"
235.399999999994,"2"
339.299999999988,"2"
399.299999999988,"2"
296.900000000023,"3"
420.900000000023,"3"
336.900000000023,"3"
494.700000000012,"3"
342.600000000035,"3"
682.599999999977,"3"
426.300000000047,"3"
694.299999999988,"3"
566.200000000012,"3"
508.200000000012,"3"
432.100000000035,"3"
348.200000000012,"3"
439.900000000023,"3"
436,"3"
267.799999999988,"3"
461.700000000012,"3"
371.299999999988,"1"
331.299999999988,"1"
479.100000000035,"1"
437.099999999977,"1"
475,"1"
743,"1"
526.899999999965,"1"
528.799999999988,"1"
828.799999999988,"1"
728.599999999977,"1"
668.599999999977,"1"
516.599999999977,"1"
570.5,"1"
520.399999999965,"1"
564.399999999965,"1"
696.200000000012,"1"
696.100000000035,"1"
572,"1"
433.800000000047,"2"
597.5,"2"
599.5,"2"
439.300000000047,"2"
533.200000000012,"2"
629.200000000012,"2"
705.099999999977,"2"
605.100000000035,"2"
313,"2"
487,"2"
290.900000000023,"2"
240.800000000047,"2"
446.600000000035,"2"
266.5,"2"
394.400000000023,"2"
842.099999999977,"3"
628.099999999977,"3"
663.800000000047,"3"
389.700000000012,"3"
619.599999999977,"3"
863.599999999977,"3"
577.400000000023,"3"
709.300000000047,"3"
367.200000000012,"3"
539.200000000012,"3"
567.200000000012,"3"
546.900000000023,"3"
775,"3"
404.900000000023,"3"
400.799999999988,"3"
374.700000000012,"3"
586.299999999988,"1"
566.200000000012,"1"
776.099999999977,"1"
679.900000000023,"1"
357.800000000047,"1"
785.5,"1"
175.199999999953,"1"
434.699999999953,"2"
542.699999999953,"2"
386.599999999977,"2"
770.5,"2"
130.400000000023,"2"
830.199999999953,"2"
426.29999999993,"2"
338.199999999953,"2"
409.900000000023,"2"
259.79999999993,"2"
783.79999999993,"2"
433.599999999977,"2"
357.599999999977,"2"
193.5,"2"
483.399999999907,"2"
495.199999999953,"1"
485.099999999977,"1"
585,"1"
550.899999999907,"1"
458.800000000047,"1"
440.70000000007,"1"
420.600000000093,"1"
394.400000000023,"1"
566.300000000047,"1"
564.199999999953,"1"
660.20000000007,"1"
416,"1"
575.900000000023,"1"
579.70000000007,"3"
575.5,"3"
543.20000000007,"3"
339.100000000093,"3"
273,"3"
564.800000000047,"3"
272.900000000023,"3"
386.900000000023,"3"
290.600000000093,"3"
792.5,"3"
438.400000000023,"3"
562.400000000023,"3"
358.20000000007,"3"
616.20000000007,"3"
473.800000000047,"2"
451.70000000007,"2"
347.5,"2"
461.300000000047,"2"
535.300000000047,"2"
495.20000000007,"2"
819.300000000047,"2"
451.099999999977,"2"
830.900000000023,"2"
588.70000000007,"2"
468.599999999977,"2"
478.5,"2"
834.400000000023,"2"
402.300000000047,"2"
300.199999999953,"3"
311.900000000023,"3"
356,"3"
223.900000000023,"3"
249.900000000023,"3"
293.800000000047,"3"
453.599999999977,"3"
567.5,"3"
535.300000000047,"3"
511.099999999977,"3"
299.199999999953,"3"
457.099999999977,"3"
480.800000000047,"3"
424.699999999953,"3"
584.29999999993,"1"
460.199999999953,"1"
762.099999999977,"1"
827.900000000023,"1"
329.79999999993,"1"
847.699999999953,"1"
429.5,"1"
427,"1"
433,"1"
308.29999999993,"3"
284.099999999977,"3"
223.900000000023,"3"
498,"3"
361.79999999993,"3"
223.79999999993,"3"
429.699999999953,"3"
307.699999999953,"3"
457.29999999993,"3"
877,"3"
398.900000000023,"3"
384.5,"2"
348.399999999907,"2"
590.29999999993,"2"
324.199999999953,"2"
316.099999999977,"2"
502,"2"
604.100000000093,"2"
351.800000000047,"2"
327.599999999977,"2"
429.600000000093,"2"
395.5,"2"
273.300000000047,"2"
311.300000000047,"2"
357.199999999953,"2"
820.100000000093,"1"
638,"1"
118.799999999814,"2"
366.5,"2"
476.199999999953,"2"
381.300000000047,"3"
761.09999999986,"3"
327.199999999953,"3"
565.100000000093,"3"
505,"3"
237,"3"
454.799999999814,"3"
524.699999999953,"3"
492.59999999986,"3"
320.5,"3"
758.5,"3"
498.5,"3"
360.399999999907,"3"
296.300000000047,"3"
412.100000000093,"3"
356,"3"
418,"3"
423.600000000093,"1"
513.300000000047,"1"
421.199999999953,"1"
839.09999999986,"1"
549,"1"
562.800000000047,"1"
592.5,"1"
376.5,"1"
441.600000000093,"1"
525.600000000093,"1"
557.5,"1"
539.40000000014,"1"
395.300000000047,"1"
499.199999999953,"1"
505.199999999953,"1"
529,"1"
362.90000000014,"1"
410.600000000093,"1"
446.699999999953,"1"
806.5,"1"
234.5,"1"
382.399999999907,"1"
498.40000000014,"1"
614.300000000047,"1"
530,"3"
727.90000000014,"3"
381.800000000047,"3"
385.799999999814,"3"
663.899999999907,"3"
547.699999999953,"3"
699.59999999986,"3"
697.5,"3"
535.40000000014,"3"
779.100000000093,"3"
519.09999999986,"3"
780.799999999814,"3"
320.399999999907,"2"
622.199999999953,"2"
492,"2"
487.899999999907,"2"
523.799999999814,"2"
621.699999999953,"2"
899.699999999953,"2"
735.59999999986,"2"
