"subject","block","trial","target_num","target","tgt_word","tgt_pos","detect","rt","rt_secs","rt_sc"
"m0085",6,16,12,"ki",2,2,1,576.90000000014,0.57690000000014,0.674718434492237
"m0085",6,16,13,"ki",2,2,1,452.90000000014,0.45290000000014,-0.0452206392894728
"m0085",6,16,14,"ki",2,2,1,470.699999999953,0.470699999999953,0.0581254535587513
"m0085",6,16,15,"ki",2,2,1,466.699999999953,0.466699999999953,0.0349016124690187
"m0085",6,16,16,"ki",2,2,1,374.699999999953,0.374699999999953,-0.49924673259483
"m0085",6,16,17,"ki",2,2,1,748.600000000093,0.748600000000093,1.67160181326873
"m0085",6,16,18,"ki",2,2,1,480.5,0.4805,0.115023864228869
"m0085",6,17,1,"di",1,3,1,696.299999999814,0.696299999999814,1.36795009101886
"m0085",6,17,2,"di",1,3,1,696.299999999814,0.696299999999814,1.36795009101886
"m0085",6,17,3,"di",1,3,1,462.199999999953,0.462199999999953,0.00877479124306962
"m0085",6,17,4,"di",1,3,1,348.100000000093,0.348100000000093,-0.653685275840738
"m0085",6,17,5,"di",1,3,1,422,0.422,-0.22462481170847
"m0085",6,17,6,"di",1,3,1,581.90000000014,0.58190000000014,0.703748235854402
"m0085",6,17,7,"di",1,3,1,379.90000000014,0.37990000000014,-0.469055739177092
"m0085",6,17,8,"di",1,3,0,NA,NA,NA
"m0085",6,17,9,"di",1,3,1,487.699999999953,0.487699999999953,0.156826778190115
"m0085",6,17,10,"di",1,3,1,395.699999999953,0.395699999999953,-0.377321566873734
"m0085",6,17,11,"di",1,3,1,497.399999999907,0.497399999999907,0.213144592832449
"m0085",6,17,12,"di",1,3,1,341.199999999953,0.341199999999953,-0.69374640172134
"m0085",6,17,13,"di",1,3,1,525.199999999953,0.525199999999953,0.374550288406357
"m0085",6,17,14,"di",1,3,1,321.199999999953,0.321199999999953,-0.809865607170003
"m0085",6,17,15,"di",1,3,1,619.199999999953,0.619199999999953,0.920310554015072
"m0085",6,17,16,"di",1,3,1,459.100000000093,0.459100000000093,-0.00922368560066005
"m0085",6,17,17,"di",1,3,1,385.09999999986,0.38509999999986,-0.438864745762065
"m0085",6,17,18,"di",1,3,1,430.899999999907,0.430899999999907,-0.172951765284355
"m0085",6,18,1,"mi",3,1,1,518.59999999986,0.51859999999986,0.336230950607759
