subject,block,targets,n_responses,accuracy,precision,hits,misses,false_positives
14,8,18,18,0.888888888888889,1,16,2,0
14,9,18,18,0.666666666666667,1,12,6,0
14,10,18,18,0.722222222222222,1,13,5,0
14,11,18,18,0.666666666666667,1,12,6,0
14,12,18,18,0,NaN,0,18,0
14,13,18,19,0.888888888888889,0.941176470588235,16,2,1
14,14,18,24,0.833333333333333,0.714285714285714,15,3,6
14,15,18,19,0.944444444444444,0.944444444444444,17,1,1
14,16,18,18,0.5,1,9,9,0
14,17,18,18,0.722222222222222,1,13,5,0
14,18,18,21,0.222222222222222,0.571428571428571,4,14,3
14,19,18,18,0.333333333333333,1,6,12,0
14,20,18,18,0.944444444444444,1,17,1,0
14,21,18,29,0.388888888888889,0.388888888888889,7,11,11
14,22,18,19,0.833333333333333,0.9375,15,3,1
14,23,18,18,0.611111111111111,1,11,7,0
14,24,18,23,0.444444444444444,0.615384615384615,8,10,5
15,1,18,19,1,0.947368421052632,18,0,1
15,2,18,19,0.888888888888889,0.941176470588235,16,2,1
15,3,18,18,0.944444444444444,1,17,1,0
15,4,18,18,0.944444444444444,1,17,1,0
15,5,18,30,0.277777777777778,0.294117647058824,5,13,12
15,6,18,18,0.833333333333333,1,15,3,0
15,7,18,20,0.888888888888889,0.888888888888889,16,2,2
15,8,18,18,0.944444444444444,1,17,1,0
15,9,18,18,0.944444444444444,1,17,1,0
15,10,18,21,0.444444444444444,0.727272727272727,8,10,3
15,11,18,18,0.833333333333333,1,15,3,0
15,12,18,19,1,0.947368421052632,18,0,1
15,13,18,19,0.944444444444444,0.944444444444444,17,1,1
15,14,18,18,0.888888888888889,1,16,2,0
15,15,18,28,0.333333333333333,0.375,6,12,10
15,16,18,18,0.944444444444444,1,17,1,0
15,17,18,18,1,1,18,0,0
15,18,18,18,0.944444444444444,1,17,1,0
15,19,18,18,0.944444444444444,1,17,1,0
15,20,18,18,0.944444444444444,1,17,1,0
15,21,18,19,1,0.947368421052632,18,0,1
15,22,18,26,0.5,0.529411764705882,9,9,8
15,23,18,27,0.444444444444444,0.470588235294118,8,10,9
15,24,18,18,0.888888888888889,1,16,2,0
16,1,18,21,0.944444444444444,0.85,17,1,3
16,2,18,21,0.166666666666667,0.5,3,15,3
16,3,18,29,0.5,0.45,9,9,11
16,4,18,20,0.388888888888889,0.777777777777778,7,11,2
16,5,18,29,0.0555555555555556,0.0833333333333333,1,17,11
16,6,18,20,0.666666666666667,0.857142857142857,12,6,2
16,7,18,19,0.777777777777778,0.933333333333333,14,4,1
16,8,18,27,0.333333333333333,0.4,6,12,9
16,9,18,22,0.888888888888889,0.8,16,2,4
16,10,18,21,0.166666666666667,0.5,3,15,3
16,11,18,20,0.888888888888889,0.888888888888889,16,2,2
16,12,18,18,0.722222222222222,1,13,5,0
16,13,18,19,0.666666666666667,0.923076923076923,12,6,1
16,14,18,19,1,0.947368421052632,18,0,1
16,15,18,27,0.388888888888889,0.4375,7,11,9
16,16,18,19,0.777777777777778,0.933333333333333,14,4,1
16,17,18,18,0.5,1,9,9,0
16,18,18,20,0.388888888888889,0.777777777777778,7,11,2
16,19,18,23,0.222222222222222,0.444444444444444,4,14,5
16,20,18,21,0.444444444444444,0.727272727272727,8,10,3
16,21,18,28,0.333333333333333,0.375,6,12,10
16,22,18,20,0.888888888888889,0.888888888888889,16,2,2
16,23,18,20,0.722222222222222,0.866666666666667,13,5,2
16,24,18,18,0.944444444444444,1,17,1,0
17,1,18,19,0.833333333333333,0.9375,15,3,1
17,2,18,23,0.611111111111111,0.6875,11,7,5
17,3,18,21,0.666666666666667,0.8,12,6,3
17,4,18,19,0.944444444444444,0.944444444444444,17,1,1
17,5,18,20,0.888888888888889,0.888888888888889,16,2,2
17,6,18,29,0.388888888888889,0.388888888888889,7,11,11
17,7,18,24,0.777777777777778,0.7,14,4,6
17,8,18,22,0.777777777777778,0.777777777777778,14,4,4
17,9,18,23,0.722222222222222,0.722222222222222,13,5,5
17,10,18,30,0.388888888888889,0.368421052631579,7,11,12
17,11,18,31,0.555555555555556,0.434782608695652,10,8,13
17,12,18,21,0.944444444444444,0.85,17,1,3
17,13,18,20,0.833333333333333,0.882352941176471,15,3,2
17,14,18,20,0.722222222222222,0.866666666666667,13,5,2
17,15,18,18,0.944444444444444,1,17,1,0
17,16,18,18,0.833333333333333,1,15,3,0
17,17,18,19,0.888888888888889,0.941176470588235,16,2,1
17,18,18,26,0.5,0.529411764705882,9,9,8
17,19,18,20,0.944444444444444,0.894736842105263,17,1,2
17,20,18,20,1,0.9,18,0,2
17,21,18,21,0.666666666666667,0.8,12,6,3
17,22,18,27,0.5,0.5,9,9,9
17,23,18,31,0.277777777777778,0.277777777777778,5,13,13
17,24,18,21,0.944444444444444,0.85,17,1,3
18,1,18,22,1,0.818181818181818,18,0,4
18,2,18,19,0.666666666666667,0.923076923076923,12,6,1
18,3,18,20,0.888888888888889,0.888888888888889,16,2,2
18,4,18,20,0.777777777777778,0.875,14,4,2
18,5,18,29,0.388888888888889,0.388888888888889,7,11,11
18,6,18,20,0.666666666666667,0.857142857142857,12,6,2
18,7,18,19,1,0.947368421052632,18,0,1
18,8,18,19,0.944444444444444,0.944444444444444,17,1,1
18,9,18,27,0.5,0.5,9,9,9
18,10,18,19,0.722222222222222,0.928571428571429,13,5,1
18,11,18,19,0.833333333333333,0.9375,15,3,1
18,12,18,27,0.333333333333333,0.4,6,12,9
18,13,18,19,0.944444444444444,0.944444444444444,17,1,1
18,14,18,19,0.944444444444444,0.944444444444444,17,1,1
18,15,18,23,0.611111111111111,0.6875,11,7,5
18,16,18,18,0.888888888888889,1,16,2,0
18,17,18,22,0.944444444444444,0.80952380952381,17,1,4
18,18,18,22,0.888888888888889,0.8,16,2,4
18,19,18,21,0.888888888888889,0.842105263157895,16,2,3
18,20,18,21,1,0.857142857142857,18,0,3
18,21,18,31,0.277777777777778,0.277777777777778,5,13,13
