"subject","block","trial","target_num","stream_pos","target","tgt_word","tgt_pos","detect","rt","rt_secs","rt_sc"
"m0085",6,17,7,75,"di",1,3,1,379.90000000014,0.37990000000014,-0.44155592655758
"m0085",6,17,8,84,"di",1,3,0,NA,NA,NA
"m0085",6,17,9,93,"di",1,3,1,487.699999999953,0.487699999999953,0.189584803472235
"m0085",6,17,10,111,"di",1,3,1,395.699999999953,0.395699999999953,-0.349051070023532
"m0085",6,17,11,144,"di",1,3,1,497.399999999907,0.497399999999907,0.246375759699237
"m0085",6,17,12,150,"di",1,3,1,341.199999999953,0.341199999999953,-0.66813427769222
"m0085",6,17,13,162,"di",1,3,1,525.199999999953,0.525199999999953,0.409137469299314
"m0085",6,17,14,168,"di",1,3,1,321.199999999953,0.321199999999953,-0.785229032799996
"m0085",6,17,15,183,"di",1,3,1,619.199999999953,0.619199999999953,0.959482818305858
"m0085",6,17,16,195,"di",1,3,1,459.100000000093,0.459100000000093,0.0221393036689359
"m0085",6,17,17,204,"di",1,3,1,385.09999999986,0.38509999999986,-0.411111290231198
"m0085",6,17,18,213,"di",1,3,1,430.899999999907,0.430899999999907,-0.142964301034117
"m0085",6,18,1,15,"mi",3,1,1,518.59999999986,0.51859999999986,0.370496200113203
"m0085",6,18,2,27,"mi",3,1,1,558.59999999986,0.55859999999986,0.604685710328754
"m0085",6,18,3,33,"mi",3,1,1,418.40000000014,0.41840000000014,-0.216148522975112
"m0085",6,18,4,54,"mi",3,1,1,488.399999999907,0.488399999999907,0.193683119900738
"m0085",6,18,6,69,"mi",3,1,1,906.299999999814,0.906299999999814,2.64037802787716
"m0085",6,18,7,81,"mi",3,1,1,490.100000000093,0.490100000000093,0.203636174085988
"m0085",6,18,8,96,"mi",3,1,1,716.199999999953,0.716199999999953,1.52739238057857
"m0085",6,18,9,102,"mi",3,1,0,NA,NA,NA
"m0085",6,18,10,108,"mi",3,1,0,NA,NA,NA
"m0085",6,18,11,114,"mi",3,1,0,NA,NA,NA
"m0085",6,18,12,126,"mi",3,1,1,472,0.472,0.0976654207129064
"m0085",6,18,13,135,"mi",3,1,1,557.699999999953,0.557699999999953,0.599416446349449
"m0085",6,18,14,144,"mi",3,1,1,611.699999999953,0.611699999999953,0.915572285140443
"m0085",6,18,15,150,"mi",3,1,1,527.699999999953,0.527699999999953,0.423774313687786
"m0085",6,18,16,180,"mi",3,1,1,539.5,0.5395,0.492860219201649
"m0085",6,18,17,192,"mi",3,1,1,619.5,0.6195,0.96123923963275
"m0085",6,18,18,198,"mi",3,1,1,495.40000000014,0.49540000000014,0.234666284189823
"m0085",7,19,1,9,"di",1,3,1,437.09999999986,0.43709999999986,-0.106664926950981
"m0085",7,19,2,15,"di",1,3,1,377.09999999986,0.37709999999986,-0.457949192274308
"m0085",7,19,3,51,"di",1,3,1,392.799999999814,0.392799999999814,-0.366029809514973
"m0085",7,19,4,63,"di",1,3,1,488.699999999953,0.488699999999953,0.195439541227624
"m0085",7,19,5,69,"di",1,3,0,NA,NA,NA
"m0085",7,19,6,78,"di",1,3,1,410.59999999986,0.41059999999986,-0.261815477468784
"m0085",7,19,7,90,"di",1,3,1,314.5,0.3145,-0.824455775760825
"m0085",7,19,8,96,"di",1,3,0,NA,NA,NA
"m0085",7,19,9,102,"di",1,3,1,746.399999999907,0.746399999999907,1.70420546079104
"m0085",7,19,10,114,"di",1,3,1,434.399999999907,0.434399999999907,-0.122472718890256
"m0085",7,19,11,129,"di",1,3,0,NA,NA,NA
"m0085",7,19,12,141,"di",1,3,1,564.09999999986,0.56409999999986,0.636886767983392
"m0085",7,19,13,150,"di",1,3,0,NA,NA,NA
"m0085",7,19,14,162,"di",1,3,1,506.09999999986,0.50609999999986,0.297311978170844
"m0085",7,19,15,171,"di",1,3,1,336,0.336,-0.698578914019967
"m0085",7,19,16,189,"di",1,3,0,NA,NA,NA
"m0085",7,19,17,195,"di",1,3,1,471.799999999814,0.471799999999814,0.0964944731607398
"m0085",7,19,18,210,"di",1,3,1,385.699999999953,0.385699999999953,-0.40759844757742
"m0085",7,20,1,17,"ki",2,2,1,479.40000000014,0.47940000000014,0.140990480103603
"m0085",7,20,2,35,"ki",2,2,1,563.300000000047,0.563300000000047,0.632202977780177
"m0085",7,20,3,50,"ki",2,2,1,557.199999999953,0.557199999999953,0.596489077471755
"m0085",7,20,4,56,"ki",2,2,1,761.100000000093,0.761100000000093,1.79027010579635
"m0085",7,20,5,74,"ki",2,2,1,509,0.509,0.314290717662291
"m0085",7,20,7,95,"ki",2,2,1,594.90000000014,0.59490000000014,0.817212690851007
"m0085",7,20,8,101,"ki",2,2,1,734.800000000047,0.734800000000047,1.63629050282935
"m0085",7,20,9,107,"ki",2,2,1,610.700000000186,0.610700000000186,0.909717547386418
