data,test,n,w,CI.low,CI.hi,p
diss,transitional probability,239,503814584,-0.06313607683461078,-0.05296990542564528,1.1404527291029465e-109
diss,word identity,468,2178126715,-0.003363348630147948,0.0036996782673854884,0.9263143875621705
diss,duplet identity,156,245723467.5,8.850246380812606e-4,0.013158228790410682,0.024258045862868092
diss,ordinal position,468,2054598900,-0.03145591878916938,-0.02438826049959698,7.104538120773411e-54
diss,transitional probability,239,503303205,-0.06302026532668681,-0.052980776278898106,4.9039210453195334e-111
diss,word identity,468,2163309429.5,-0.006430217181752483,6.430952635742317e-4,0.11070469690173067
diss,duplet identity,156,244078545,-0.0018514271910574295,0.010390358065466836,0.17275265221168185
diss,ordinal position,468,2039831783,-0.034808641620351494,-0.027692975337391998,2.8061907871175673e-66
diss,transitional probability,239,500195193,-0.06639837260203432,-0.056280216909392854,4.82914194163619e-122
diss,word identity,468,2174152464,-0.0039743008897875805,0.003071069588146942,0.8035253777878807
diss,duplet identity,156,245453611,2.692726763667739e-4,0.012503343410546746,0.0400720413725951
diss,ordinal position,468,2056441780.5,-0.03113967893744211,-0.024091650376335687,5.883051034535046e-53
diss,transitional probability,239,502839428,-0.06410847507858951,-0.05396783155139325,3.539389312831135e-113
diss,word identity,468,2176502745.5,-0.0036684476104602137,0.0033238139751889002,0.9255044352249513
diss,duplet identity,156,244785577,-7.400472882778987e-4,0.01149161787996078,0.08530940413976981
diss,ordinal position,468,2058432253,-0.030666696892773796,-0.023619769866101537,3.5306371367293916e-51
diss,transitional probability,239,502498433,-0.06398319983960638,-0.053873777553950473,7.264983814303376e-114
diss,word identity,468,2173586705,-0.004281840846310395,0.0027514217113107156,0.6707066598377829
diss,duplet identity,156,245610352,8.407267314482675e-4,0.01300695595949418,0.025663005912094354
